what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1430542482674
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430542482674
java.specification.version,sysinfo,,,"1.6",1430542482674
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1430542482674
java.version,sysinfo,,,"1.6.0_23",1430542482674
java.vm.info,sysinfo,,,"mixed mode",1430542482674
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1430542482674
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430542482674
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430542482674
java.vm.specification.version,sysinfo,,,"1.0",1430542482674
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1430542482674
java.vm.version,sysinfo,,,"19.0-b09",1430542482674
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430542482680
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1430542483302
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1430542483330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542484421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542485222
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1430542485225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1430542485225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542486978
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1430542487381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542487779
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1430542487781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1430542487781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542489063
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1430542490171
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1430542490179
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430542500059
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1430542501498
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1430542501504
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1430542501505
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1430542501505
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1430542516379
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1430542516472
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1430542516844
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1430542517465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542519353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1430542519357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1430542519357
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430542519721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542520680
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430542522632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542537936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1430542537943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1430542537943
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430542538991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542541363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430542543534
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1430542544795
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430542546547
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1430542547341
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430542550201
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1430542550201
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1430542550219
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1430542551166
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1430542551227
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1430542556560
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1430542556562
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1430542556575
